O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
29-9093.00,1.33,6.33,1.67,3.33,4.0,5.0
29-9099.01,2.0,1.33,2.67,2.67,3.67,7.0
31-1121.00,2.0,2.67,2.33,2.0,5.0,7.0
31-1122.00,1.33,4.33,2.33,1.67,5.33,7.0
31-1131.00,1.33,5.67,1.67,1.67,4.33,6.67
31-1132.00,1.0,6.33,1.33,1.0,5.33,3.33
31-1133.00,2.33,4.67,2.0,2.33,4.67,7.0
31-2011.00,3.0,2.67,1.67,3.33,4.33,7.0
31-2012.00,2.0,3.33,2.0,2.0,4.67,7.0
31-2021.00,1.67,2.67,2.33,4.0,5.33,6.67
31-2022.00,1.33,2.67,2.33,1.67,5.67,6.67
31-9011.00,1.67,3.0,2.33,3.67,5.67,6.33
31-9091.00,1.33,6.0,2.67,3.33,5.67,4.67
31-9092.00,1.33,6.33,2.33,3.0,4.33,6.33
31-9093.00,1.0,6.0,2.0,3.67,6.33,2.0
